Слово,Сколько раз встретилось
верный,508
слово,3191
какой,5138
жалкий,53
вечеринка,13
выглядеть,549
аппетитно,26
подписать,160
приговор,58
звание,154
пустослов,2
балабол,32
чак,9
норис,1
реализовать,22
обещалка,1
никак,384
действительно,813
вылезти,110
весь,7882
позабыть,18
обосраться,84
пустословие,3
начинать,611
пенсия,1250
минимальный,57
обуглить,1
сковородка,45
картошка,183
вкусный,688
ещё,5886
чесночком👍,1
игорь,119
лаза,1
знакомый,565
родный,1311
хрен,565
жопа,1487
мудак,253
респект,200
называться,516
искусственный,46
икра,121
украина,1165
территория,357
населить,30
ублюдками👎,1
оформить,141
госуслуга,55
мфц,78
продать,1577
выблядок,162
d,2741
давно,1559
видно,966
рваный,33
зализывать,5
ch,275
добрый,4567
всё,5457
забыть,1028
простить,624
понимать,1557
вести,554
умный,914
быстренько,25
развернуться,15
научить,230
👍👍😂😂,1
надюша,22
спасибо,5703
приятно,435
браток,25
поздравлять,1277
рождение,2092
желать,1403
главное,1175
твой,3301
близкие,254
оно,692
потомучтый,27
разносчик,4
зараза,145
из-за,330
граница,479
контроль,108
комар,67
клещ,47
иуда,120
метить,29
повесить,443
мало,1191
праздник,1314
дорогой,1077
чистый,557
небо,509
голова,1702
мир,2121
земля,1669
спасти,607
шальной,9
пуля,86
северяночка,1
фохххххбха,1
бббчббечиб,1
дурка,58
бб,493
климкина,2
раз,761
белоруссия,265
поделиться,390
секрет,111
б,3945
оз,249
р,1121
оо,2230
тшиттег,18
гог,20
апdгоиd,9
ч,1867
авг,143
интиресный,2
вода,1666
кран,45
генеральша,13
соснуть,23
раздвинуть,21
зад,162
передок,15
позор,482
страна,3676
ильхам,4
следующий,527
пост,477
написать,2799
извинить,391
реально,377
ломать,98
мозг,1109
нестоить,2
данный,307
некоторый,598
время,4433
игра,1189
вечный,772
оскорбление,152
виртуала,2
реал,96
неприемлемый,3
классный,832
сериал,84
клон,19
👍👍👍👍⭐⭐⭐⭐⭐,1
ездить,588
борт,34
грузовик,24
всякий,905
подпись,95
инструктаж,3
минута,600
пятнадцать,18
назад,819
сис,5
приходить,594
умничка,493
счастие,2813
рожа,367
еблася,3
узбек,64
нарожать,16
убить,1073
мразь,1800
отрубить,226
блядь,1840
обидеть,177
ангелочек,105
наш,6913
казнь,135
арбуз,186
вырасти,491
привет,1797
заниматься,566
привоз,18
парфюмерия,9
заказ,618
утырок,22
рассказать,430
параша,55
словам-человек,1
страз,15
конченый,383
безмозглый,179
мразот,174
епид,1
вспомнить,452
отечественный,65
фашист,319
краснодонец,1
птичка-долбоёб,1
бить,686
преступление,167
жаль,1174
детишки,86
который,5763
воспитываться,22
неадекватно-,1
психический,24
отклонение,16
собака,1567
забор,165
жалко,762
скотинка,10
предсказание,17
чудо-,6
художник,134
класс,2293
пропивать,18
ублюдок,928
красный,635
площадь,360
танк,139
пройти,1102
резиновый,61
трак,3
автобан,5
толщина,23
подушка,80
основный,110
полотно,15
метр,214
неважно,46
германия,324
франция,79
чехия,11
венгрия,16
т.д,151
красивый,2645
иолодец,1
грибок,27
означать,88
заткнуть,73
ести,233
счёт,769
простой,1293
народ,4302
вьебывать,1
свой,10510
шастать,17
планета,202
проститутка,310
мутить,37
резина,55
m+s,1
выгодный,64
дать,4274
земельный,22
участок,208
брать,1371
налоги😂,1
красиво,1249
росгвардия,108
заслужить,228
наименование,14
п,483
произойти,350
возрождение,17
вид,805
фашизм,89
против,992
фашистский,103
отряд,67
полицай,199
утинскиештурмовый,1
нахуй,693
нужный,3091
оленевод,19
володя,95
ага,342
ноябрь,95
прошлый,341
лидка,2
дача,293
лохануться,8
пиздить,432
село,360
лужа,78
смыться,23
аффец,1
зять,47
подарить,326
э/,1
простыня,31
радоваться,438
каждый,3418
прохладный,36
ночь,713
дивиться,4
себе-зачем,1
насморк,9
заводила,1
чудо,669
пидераст,70
вместо,457
родина,928
защищать,337
западный,138
тварь,2990
ребята,941
молодец,3578
держать,891
давать,2110
растрелять,283
театр,100
спектакль,56
гнилой,164
помидор,404
что,2062
хватиться,4
долбать,32
фургал,416
папа,715
римский,28
губернатор,253
чукотка,8
почему-то,163
например,337
сажать,397
какой-нибудь,62
девушка,835
превышение,10
самооборона,10
защита,303
насильник,30
кукарекать,34
полизать,45
всунуть,16
любимый,1219
город,2048
процветание,104
житель,386
мирный,242
жара,226
попасть,582
пекло,39
зоопарк,62
дендропарк,1
находиться,823
сосна,62
рекомендовать,124
пожалуйста,2059
гусь,55
прошедшее,44
убрать,552
деньга,3344
из,38
исчезнуть,140
вера,425
делать,4385
спать,628
пить,739
есть,601
вам🥵,1
зечка,4
проека.натуральный,1
уголовница,1
рука,2827
мужик,1506
распускать,25
душа,1960
кровянка,2
бешеный,84
умыться,21
.мразот,1
фу,211
сказано.ич,3
кто,4247
страхуил,4
кончить,480
герой👍🤗,1
маразматик,45
озлоблёный,1
md,297
трудно,283
видеть,2813
природа,590
правда,1580
зоогостиница,2
📲,7
усложнить,1
тарталетка,1
близкий,662
сжимать,19
целлюлита,8
пердильник,1
просить,919
последствие,105
нынешний,263
ошибка,463
недоразумение,13
рассеяться,5
возможность,484
котёнок,436
добро,599
вернуться,614
больший,1120
стройка,102
производство,159
ссср.переть,1
закончилось.ить,1
право,1049
этаж,282
начало,639
сильно,459
трясти,34
галопом,3
выскочить,32
улица,1063
соседка,99
-ты,11
-говорить,3
-чего,2
ладный,268
мы,3138
долго,715
лететь,242
ааа,46
-отвечать,2
зато,548
откопать,15
",жить",1
любить.,3
забывать,320
👍,1785
здравствуйте,2952
узнать,945
курочка,50
убийца,303
жиьодер,1
выкинуть,191
белорусие,49
повторять,109
наступать,144
грабли,45
больно,277
убивать,721
расстрелять,1151
падло,233
ангелок,5
убывать,9
прибывать,12
терять,205
позиция,92
шаг,138
сдвинуться,11
рецепт,836
сайт,613
открываться,204
правильно,1542
медик,170
вообще,2684
приехать,581
больной,696
поставить,964
диагноз,99
орз,10
бросить,414
выживаемость,2
тема,834
коронка,15
затронуть,13
чен,9
https,1459
//natali.ru/product/,10
размер,1149
блузка,32
агния,3
руб.,342
шт,220
тот,3954
херня,149
распростронять,3
ёбаный,589
страхалюдин,1
её,2041
отпиздить,66
особенно,716
губа,155
откуда,701
отправляться,26
почём,114
купейный,1
билет,186
ефрем,194
подлец,63
кот,762
сам,4812
спойствие,1
пофигизм,16
собачка,363
бояться,982
дойти,248
ужас,786
помнить,1675
русский,1763
гнать,420
союзный,78
республика,244
сколько,4188
вырезать,53
чечня,87
курс,339
кавказец,26
нравиться,1298
горячий,238
парень,682
поверь,49
гораздо,130
быbаета,1
хотеть,5281
послать,537
глянуть,99
везде,764
всюду,49
братуха,3
идти,2961
валиться,13
обоссать,38
талмуд,2
быдлия,1
еби,25
срак,102
крест,94
перевернуть,61
красотка,190
драться,55
морковка,40
вкусно,568
вообще-то,109
василёк,29
яжёлый,1
случай,762
гуля,8
едить,22
клепинино,1
понедельник,157
вторник,65
с/совет,1
сидеть,1898
квиток,4
оплата,342
госпошлина,6
себя,529
иметь,1726
паспорт,230
форма,570
свидетельство,54
отксерить,2
заполнить,38
скажито,4
число,496
готовый,655
забирать,252
курман,1
сволочь,624
яйцо,752
отрезать,242
уточнить,98
насколько,108
литр,424
кастрюля,130
соляночкасупер,1
вещь,1125
хозяйство,536
оказаться,579
выручать,406
нужно,3936
перо,254
жар-птица,159
//ok.ru/game/kingdom/,622
item=__//,568
вертолёт,52
настя.,1
небоскрёб,7
раскорячиться,6
слабо,145
😉🤪,1
накрыться,14
ликвидировать,34
быть,6891
яичница,9
семимильный,4
путь,523
созидание,6
😂,1321
подобный,494
вопрос,1703
задаваться,14
робот,46
привлечь,51
индустрия,6
пример,533
сборка,21
автомобиль,151
остаться,1820
облегчать,6
повышенный,34
квалификация,18
менее,130
физически,36
утруждать,8
прогресс,33
сей,702
пора,1671
поле,358
урожай,171
ручной,74
собирать,614
очищать,41
сорняк,35
любой,1350
погода,207
уебышать,1
пропидорный,2
шавка,86
кремль,214
мадам,80
мужчина,1232
новополоцк,2
отметить,111
-летие,16
вдв,774
открыть,691
бюст-памятник,1
советский,716
союз,479
василий,93
маргелов,3
многий,480
удобно,194
кошмар,164
хорватия,11
регистрировать,8
туда,1019
обратно,225
долгий,724
ехать,654
обычно,285
проблема,1125
странно,201
достойный,468
актёр,537
почему,2839
личный,523
жизнь,5236
касаться,166
святый,13
пророч,2
божий,404
молить,178
грешный,173
суметь,72
найти,1671
сила,1190
воспитывать,208
дочь,524
нога,1059
мелочь,124
не.,34
дружить,210
хотя,1245
собираться,341
смеяться,267
школьный,185
чудесный,272
подружка,95
парта,52
свадьба,150
свидетельница,5
х-й,8
😀😀😀😀,8
петь,424
настёный,3
......,1151
благо,504
👍👍👍👍,57
ирина,306
поддержка,506
🌸💋🌼,1
богослужитель,1
грабить,159
доверчивый,28
одеваться,48
золото,209
любить,2816
поп,217
игрушка,259
попка,124
мой,4036
.............,54
котэ_ориентал,1
красавец,260
обожать,487
порода,251
ти,110
хто,19
дасведания🤪,1
один,5482
либерасня,2
пидорасня,19
точный,96
мерзость,76
напиток,69
🥤,1
советовать,188
свинья,289
го,189
довести,164
пиздануть,26
раскошо,1
уютный,117
выпнуть,8
дэбить,19
ой,786
ощейник,1
алёна,30
​люба,1
злыдень,11
нытик,50
поразмыслить,5
митинг,305
служить,634
устроить,228
пиар,53
развлекаловка,1
лысый,109
долбоести,383
реальный,248
положить,425
доллар,148
рубль,1081
-пойти,2
снимать,462
милославский-,1
хранить,580
сбербанке-,1
читать,1259
строк-,1
евро,99
деревяшка,9
стоять,787
бумага,114
неадекватный,37
удавить,44
гад,210
интернет,590
место,2922
игоистичный,1
признать,147
указать,215
лошадь,165
дибилойдный,1
хочешь.быть,1
масть,35
возраст,812
ёлка,37
влезть,65
ободрать,14
байер-рейнджерс,12
севилья-рома,14
базель-айнтрахт,14
ф,101
вулверхэмптон-олимпиакос,13
ман,18
сити-реал,1
м,475
ювентус-лион,12
бавария-челси,12
барселона-наполоть,13
искать,1220
лох,185
выслать,64
почта,234
перевести,248
отдать,1133
сосед,561
камера,256
p,137
просто-золотой,1
посадить,865
голый,143
термитник,1
мучиться,104
родсолнух,1
мальчик,692
какой-то,650
элементарный,56
измениться,224
неряшливость,1
речь,369
замечательный,851
счастливый,1133
нищий,166
дебил,1185
заработок,71
чёртов,14
мать,1076
закрывать,186
«,829
шеколада,1
»,835
-этый,147
интересно🙄,1
гамадрил,2
огромный,1007
торс,3
плоский,27
задница,275
полный,1234
навоз,28
крепкий,592
малыш,781
ждать,2119
-d﻿,626
плохой,1225
версия,94
обнищание,9
крестьянский,7
масса,164
социальный,142
пропись,4
поискать,85
ранний,1169
москва,881
привозить,94
облом,19
вирус,396
👍👍👍,448
полизалоб,1
пизда,525
муж,1236
готовить,442
млн,109
гордиться,464
вы,1129
автор,748
ходить,1526
сибирь,173
охринелноа,1
кра́соты́,1
азарт,14
напоминать,147
плей,5
офф,9
кастрировать,229
полностью,458
помиловать,113
аминь,462
🙏,531
жидовский,106
пиздабол,208
продажный,555
трахнулба,3
ограничение,68
ракушка,27
выжидательный,1
тактика,15
открывать,205
карточка,76
ресурс,166
дарить,229
человеческий,291
ценность,88
честность,34
религия,94
отрицать,36
важно,323
аллах,213
христос,167
будда,6
мечеть,36
церьковя,2
храм,189
производить,91
что-то,973
высокий,521
зря,363
молиться,227
взор,14
поднять,453
верх,163
вселенная,65
звезда,281
реклама,230
излучать,17
свет,799
другой,3274
честь,357
совесть,451
компетентность,4
причём,544
каво,14
болеша,1
когда,1
тако,10
обявление,9
пишеш,16
академия,23
кочнева,5
грамотный,129
нет-позор,1
значок,41
тойота,7
посмотреть,1825
луноликий,1
-чуть,5
.что,68
переживать,246
решаться,43
хороший,5329
главный,345
жираф,17
картинка-сердце,1
стих,403
строчить,20
-хуй,1
яростно,7
дрочить,163
🤣,180
чтотж,1
молчать,413
женщина,2120
одеть,194
​наебаться,1
насосаться,2
обсосать,4
хуй,1817
отлизать,28
тухлый,34
секель,4
обдрочить,2
ебало,182
малый,451
отрешать,1
всемирный,33
экономический,61
задача,313
поссать,13
табло,11
бандёр,45
пожрать,30
гамна,2
охуесть,234
житуха,9
заебец,1
пидарюг,30
ubas,164
пугать,114
удача,1153
👏👏👏,75
хлеб,547
волочковый,12
отнимать,20
хлеб-,3
скандал,38
😄,163
получиться,711
прилипнуть,12
отлипнуть,2
😀,151
рашистский,4
выблятка,1
кэшбек,2
телефое,1
дочка,314
шахтёрск,4
донецкий,22
обл.,56
детский,856
гуманитарка,16
местный,293
общаться,300
гумпомощь,5
видели.говорить,1
прилавок,30
походить,33
рынок,295
побывать,147
ахренеть,8
приглашать,176
бегемот,16
постоянный,148
игрок,362
рейтинг,141
личка,612
пялить,7
грёбаный,87
угробить,47
милый,798
создание,117
ручка,297
искалечить,11
расшибить,6
похоже,504
рептилоид,2
зависть,152
твориться,229
творение,43
энергия,153
первотворец,1
изуродовать,27
изучение,14
медицинский,91
мерка,15
расчленить,40
тьма,51
собчак,50
глава,283
аха,18
ха,323
тромбо,1
асс,14
статья,400
дожить,219
тюрьма,349
откупиться,18
лишить,127
повинный,19
выличиться,1
отдых,271
съездить,66
иот,1
армия,466
откосить,4
тюряга,15
утопить,82
поступить,226
решить,672
борщ,56
сварить,63
пельмень,57
отварить,21
захотеть,282
мбаппезинсенко,1
робсон,2
оба,549
сдержать,28
эмоция,192
ненавидеть,266
творить,286
испытать,97
боль,482
страх,206
счастное,3
животное,1026
уважаемый,386
группа,1578
мистике.мочь,1
поэтический,4
найтись,453
ценитель,12
таланта.ть,1
оценить,130
столь,50
искусства.ть,1
пропускать,86
обидела.вот,1
накипело-наболело.заходить,1
мистика,9
куча,270
занимать,108
военный,322
мастерок,1
строить,393
жилой,53
переплавить,1
велосипед,128
стиральный,82
машина,1076
коляска,98
т.д.,185
начать,983
цвести,181
пахнуть,133
целинный,8
питься,17
осваевать,2
короб,10
собрать,485
сказка,391
стопочка,2
великий,687
дешёвый,333
правитель,127
–,414
предатель,413
дама,180
действовать,223
акция,201
ая-,2
глубокий,160
бикини,6
подмышечный,1
впадина,1
бесплатно,468
воскресение,156
скидка,170
супер,1437
дорога,1484
прядка,2
цифра,118
квадратный,33
секция,27
доход,174
дачника-,1
пенсионер,470
весьма,48
некого,87
работать,3186
объяснение,33
равно,739
когда-то,137
настать,52
конец,983
всё-равно,7
рано,209
расставить,22
дума,325
поголовно,22
расстреливать,294
слыш,29
гнида,405
попутло,1
венто,2
бензин,123
г,684
состояние,558
противный,77
котунья,5
зюзюкен,1
пердолена,2
гнилодуптить,1
швайн,2
хитлерошулцман,1
пососанто,1
полизанто,1
чубайсорыжефалосса,1
.облизанто,1
швайнежулька,1
хамнодуптить,1
тонькокосорыленко,1
зюзя,1
обрыганто,1
защеканко,1
завудов,1
пистохенна,1
швохенна,1
💋💋💋🤗🤗🤗,1
благополучие,332
беречь,422
😘😘😘🌹🌹🌹🌹🌹🌹🌹,1
просматриваться,11
давить,252
безумный,56
шкура,158
сдирать,11
аллиргах,1
наглеть,21
обкладывть,1
царь,245
правление,92
развалить,202
вогнать,5
кредит,196
распрадать,1
ответ,702
мамай,12
шикарный,347
прелесть,610
акрил,4
бабаков,1
плохо.через,1
неделя,822
отколупаться,1
наташа,139
🎂тести,1
🌸🌼🌻🌷здоровье,1
💃💃🎈🎈🎁🎁🎈🎈,1
ворачиваться,2
прошлое,195
пройденый,4
этап,78
вмф,46
слаженный,3
специалист,175
кашарский,2
рдк,3
подготовка,55
мероприятие,90
дело,2605
творческий,180
кропотливый,15
ответственный,55
видео,654
программа,303
интересный,677
лёгкий,505
восприятие,23
неиссякаемый,8
творчество,155
посетитель,18
публикация,90
схема,126
крутилка,1
неправильно,76
подключить,72
путлера,48
вор,492
ебанутаить,145
охуительный,18
наглец,9
бедный,712
крыса,248
уои,8
сd,7
ирsиd,1
dош,1
😘,121
полизснуть,1
присоединяться,98
суд,685
оправдать,82
пидор,2441
структура,58
сначала,504
благополучно,16
разрушить,125
взяться,132
зарплата,893
повысить,77
принять,763
крюк,26
контингент,10
киев,109
шаро,1
лся,5
удивить,96
приезжать,374
шелупонить,7
квартира,924
киевлянин,3
майдан,213
хозяин,931
прятаться,97
приезд,37
оный,11
освобождать,29
многие,666
нехая,6
дитинк,1
поехать,380
повеселиться,10
денежка,120
заработать,437
запаленщина,1
разнарядка,2
прислать,695
палаточный,2
городок,63
позвонить,632
трибуна,27
становиться,391
тихий,158
прощальный,10
песня,846
миша,104
взмыть,1
ввысь,6
помахать,8
лапа,112
пустить,163
слеза,464
махать,51
тысяча,724
прослезиться,14
августовский,22
вечер,874
закрытие,23
олимпийский,33
подниматься,98
выше,448
скрыться,23
грустно,176
утром,435
целое,87
невредимый,8
воробьевый,2
гора,461
отвезти,41
склад,108
комитет,41
дальнейший,132
судьба,433
грустный,100
пылиться,5
рубежом.одный,1
немецкий,117
коммерческий,21
фирма,118
предложить,206
выкупить,34
крупный,262
сумма,722
власть,1899
отказать,87
съесть,168
воспоминание,187
где-нибудь,15
музей,103
выставка,35
плюшевый,13
мишка,103
вызвать,115
столько,1025
положительный,83
лёха,46
хромать,22
язык,798
что.малыш,1
брежнев,92
сравнивать,133
разный,991
эпоха,79
ничто,196
помочь,1722
боженька,42
🙏🙏🙏🙏🐶🐶❣️❣️❣️,1
развидеть,4
здраствовать,105
цвет,668
беларусь,315
город♥♥♥,1
💋спасти,1
сохранить,429
богородица❤️❤️❤️,1
джонс,11
тайсон,19
он,352
плохо,735
стенка,367
ставить,770
трудотерапия,4
неплохо,101
трудиться,101
скромность,20
духовный,53
пастырь,4
пристать,21
аскет,1
загореть,8
нежный,237
чешуя,4
солнце,299
быстро,563
загорать,17
летать,168
🌞,18
понятно,750
злой,277
ящик,115
прямой,163
эфир,81
сильно👍👏,1
адрес,537
свобода,300
вседозволенность,20
едросова,33
прополис,14
жесть,133
редко,158
воровать,357
нищета,119
развал,146
потоп,24
родить,351
эгоист,23
шуруповёрт,2
одноразовый,34
мент,220
слушать,543
обиженный,52
моська,25
полаяться,1
продолжать,307
артист,320
сплошь,30
рядом,957
гулять,301
посылать,116
мусор,484
выносить,86
девятилетний,2
маленький,1868
молодой,882
современный,291
родитель,1722
легкомысленный,4
случиться,309
задуматься,147
удовольствие,486
красота-то,3
чм,14
футбол,84
виза,27
опять-оранжевый,1
белые,144
колесо,193
ржавый,19
ужасный,159
прежде,332
рекламный,21
щиты-тот,1
сперва,59
пилить,54
снова,422
отблагодарить,21
наградить,65
поздний,215
мёд,287
примерно,245
—,518
обязательно,594
хрзяина,1
закатать,67
заживо,51
слышь,96
дура,664
шалавый,127
спросить,511
оскорбоять,3
аниме,12
жызнуть,6
возвращаться,171
смысл,472
когора,1
тонуть,35
мысль,400
тянуть,160
мило,95
навсегда,207
обещать,332
чужой,579
улобов,1
лу,8
ад,409
вперёд,257
омар,31
хайям,26
минус,114
нижний,150
постоянно,439
цеплять,16
лето,745
дари,6
почитать,211
стать,2432
хранительница,7
очаг,19
озлобленость,1
уважение,542
результат,490
социум,18
существовать,284
мнение,740
обижать,125
бабушка,917
живить,378
внук,629
расчитывать,14
пожалуйстый,9
будт,42
очередь,455
н,263
щ,7
ы,113
крабовый,14
салат,178
ручонка,8
оторвать,325
потлма,1
засунуть,303
иже,25
сало,184
чугунный,19
печка,50
леонид,71
ильич,56
порядок,567
закон,1013
соблюдаться,15
золотой,900
вернуть,617
житься,115
забрать,1294
карман,333
птичка,91
крыло,148
летать.,1
отпилить,6
убежать,96
номер,1844
телефон,1487
комфорт,41
враг,551
проспать,19
бывать,1129
кормить,639
усилие,30
прилогай,1
ябы,21
черешю,1
настоящий,1406
танкист,23
вмешиваться,22
политика,271
аиsоvасна,1
транспорт,154
участковый,34
пункт,126
полиция,361
завтра,696
😊😊😊,14
выходить,540
связь,404
иванов,63
сидоров,11
покупать,603
атопром,1
вбухивать,1
милла,6
руб,1371
вбухать,6
р.,238
представлять,255
кайф,88
выезжать,83
набить,137
морда,374
прожать,1
случайно,192
активировать,16
установка,84
🌈🌈🌈👍😎🔥🔥🔥,1
радуга,62
бедняга.сколько,1
память,1289
подводник,9
нож,126
заранее,178
приготовить,168
получать,954
дести,8
лоб,157
бледьеий,1
летунчик,1
коса,53
камень,265
рассказывать,280
лес,677
смешно,376
ммммм,14
рак,285
услышать,231
кто-то,789
молодёжь,341
вступить,62
дискуссия,22
отругать,4
хорошенько,33
сесть,191
удивлённый,25
безобидный,14
критика,40
напрямую,24
ругать,63
вляпаться,5
вариант,314
бюджетней-уголь,1
активированный,5
-d,1226
помощь,1168
дружеский,213
хватать,1315
важный,430
масло,764
подсолна,260
item=__//нужный,3
алюминиевый,12
огурец,409
нету,368
свиноферма,5
хряк,25
витя,27
педераст,83
скорость,139
звук,105
уровень,765
//ok.ru/vegamix/topic/,1
сказано👍,6
храниться,53
отдел,92
редкий,320
книга,419
живой,914
сестра,321
троюродный,6
больница,470
красноярск,50
санитарный,16
совмещать,7
обязанность,87
медсестра,36
отделение,90
персонал,43
больничный,58
короновирус,160
им.,44
факт,416
часть,619
пара,651
участь,45
постичь,16
кт,25
прочий,184
анализ,130
отправить,616
платно,64
подтвердить,62
выдавать,156
электронный,67
лежать,414
лечиться,222
уколы.сейчас,1
документ,684
нанимать,24
юрист,42
доказать,216
болеть,497
компенсация,69
заняться,161
отдохнуть,153
насрать,63
одето.ести,1
ходить.,2
очко.этый,1
равносильно,11
подсказывать,21
трахать,274
жена,849
скрывать,102
всевышний,75
благословение,40
благодарю👍,1
терпение,537
кола,49
чипсы,24
подавать,190
довольный,251
жрать,363
бороться,233
напороться,11
автомат,131
дтк,1
стрельба,24
холостой,16
патрон,46
слыхать,12
дзвино,1
вино,174
флаг,270
чемодан,62
зелёный,409
y,93
наоборот,225
свалить,95
население,355
узбекистан,72
кислород,57
экономикать,1
ажур,5
хороша,2
мечта,350
снять,487
арион,1
ютуба,91
начальство,65
котлас,1
поедить,4
сказали-водители-этый,1
песок.сделать,1
купиться,18
развод.нас,1
лично,515
кинули.ий,1
людей.именный,1
оплатить,439
км.этый,1
месячный,27
пробег,24
треугольный,2
плоскость,5
тип,495
пирамида,18
город-аэропорт,1
пидарас,686
дырявый,159
чёрт,258
заступиться,30
коммент,131
низкорослый,5
брюнетка,8
даниил,11
уверить,165
ангел,193
хранитель,100
рана,51
зажить,36
фофан,1
берег,216
путать,112
эмблёмка,1
пидра,125
летний,292
возмутиться,14
выразить,83
негодование,12
повод,337
трагедия,76
спешить,140
осёл,63
вылететь,39
встречка,15
происходить,437
.....,2614
страшный,522
виновник,20
погибнуть,383
вздохнуть,24
ответить,985
наталья,271
аверин,4
натаха,6
москал,1
ми,63
що,8
кажуть,1
копйка,1
иридно,1
готовь,1
мамка,75
гончарук,2
брешуть,1
клясть,10
скилька,1
грош,59
дають,1
доставка,447
кол,738
образование,428
ссср,1080
lo,355
прямо,447
бывший,329
-d﻿👍﻿,5
﻿👍﻿,3
усатый,73
наобещать,7
добить,60
значит,1287
два,1075
клавишный,4
выключатель,9
нейтрально😐,1
потрудиться,26
миллион,441
браво,590
лизат,6
некогда,120
полно,137
жалельщик,2
великое,35
продолжаться,131
невдомёк,5
вишенка,6
торт,135
набрать,256
хвост,155
безденежье,4
стерилка,2
дорого,226
поза,69
спасать,226
турция,149
❤️,103
несчастный,134
тутая,1
сделали👍,1
доцентта,1
круто,230
прекрасный,1233
попробовать,795
пробовать,399
врач,932
учитель,453
сейчас,298
условие,329
сломаться,42
пополый,1
загрузиться,12
поздравление,225
солнышко,328
фигня,154
обед,213
шпрот,6
сытый,96
подряд,118
течение,224
месяц,1392
ненавидят.,1
москве.заболеть,1
подыхать,23
любоваться,106
бесконечно,61
оторвать.этый,1
туфта,16
бандерлог,21
страница,354
болотный,23
лечить,434
оказывать,55
умирать,245
инфаркт,39
пытаться,434
заинтересовать,51
наивный,65
заводский,43
терапевт,30
офигенный,23
познание,17
увольнять,28
не.быть,1
шея,289
цель,326
выкрутасы,8
шедевр,147
восхитить,16
мастер,422
оч,360
температ,1
х,1275
ант,2
пешs,11
беспокоиться,33
следовать,160
з,2115
термометр,11
градус,78
болезнь,352
вовсе,112
естественный,79
организм,154
нормальный,807
температура,140
диапазон,10
збб,36
изменение,97
разумеется,12
риска,2
заболевание,133
причина,350
регулярный,18
паника,43
показатель,75
отличаться,115
устойчивый,11
крайний,124
сигнал,29
скорбеть,130
вместе,1161
bаи,3
обида,127
изучить,42
основной,56
декабрь,65
витать,11
где-то,207
облако,74
поправка,162
июль,545
сие,119
непонятно,148
разъяснение,10
берет,100
ситуация,542
оставаться,453
проживать,125
пыль,109
вытряхивать,5
м.,58
далее,501
фото,2438
выложить,226
фанат,22
учёт,83
теперешний,25
поколение,311
семья,1931
воптать,2
